DateTime,Date,Time,TimeErr,Evla,EvlaErr,Evlo,EvloErr,Depth,Derr,Mag,,
2019/06/18 04:48:11,6/18/19,4:48:11,0.26,23.788,1.07,122.912,0.87,53,,1.4V,NEAR ISHIGAKIJIMA ISLAND,k
2019/06/18 04:48:57,6/18/19,4:48:57,0.24,42.346,0.78,142.609,0.75,23.3,2,0.5V,HIDAKA REGION  k,
2019/06/18 04:50:58,6/18/19,4:50:58,0.06,33.684,0.13,135.53,0.16,11,0.6,0.0V,SOUTHERN WAKAYAMA PREF  A,
2019/06/18 04:53:18,6/18/19,4:53:18,0.13,41.252,0.26,139.123,0.69,30.5,0.8,1.4V,W OFF AOMORI PREF  k,
2019/06/18 04:55:34,6/18/19,4:55:34,0.17,40.642,0.6,140.338,0.45,18.5,1.2,0.4V,WESTERN AOMORI PREF  K,
2019/06/18 04:55:54,6/18/19,4:55:54,0.2,40.652,0.38,140.348,0.7,21,1.1,0.3V,WESTERN AOMORI PREF  K,
2019/06/18 04:58:19,6/18/19,4:58:19,0.18,37.275,0.53,141.63,0.9,40.2,3,0.8V,E OFF FUKUSHIMA PREF  k,
2019/06/18 04:58:28,6/18/19,4:58:28,0.04,31.542,0.09,130.273,0.14,4.7,1,-0.4v,SATSUMA PENINSULA REGION,k
2019/06/18 05:03:27,6/18/19,5:03:27,0.28,40.261,0.62,142.486,1.46,33.4,2.7,0.9v,NE OFF IWATE PREF  A,
2019/06/18 05:08:29,6/18/19,5:08:29,0.17,28.295,0.92,129.729,0.85,27.6,1.6,0.7v,NEAR AMAMI-OSHIMA ISLAND,A
2019/06/18 05:12:18,6/18/19,5:12:18,0.02,35.092,0.08,135.694,0.09,11.1,0.4,1.4V,MID KYOTO PREF  A,
2019/06/18 05:13:06,6/18/19,5:13:06,0.22,36.122,0.55,141.265,1.1,26.8,3.3,1.2V,FAR E OFF IBARAKI PREF  A,
2019/06/18 05:15:04,6/18/19,5:15:04,0.31,28.211,1.38,129.771,1.27,19.4,4.8,0.5v,NEAR AMAMI-OSHIMA ISLAND,a
2019/06/18 05:19:00,6/18/19,5:19:00,0.1,33.87,0.17,135.612,0.22,15.5,0.9,0.1V,SOUTHERN WAKAYAMA PREF  A,
2019/06/18 05:19:51,6/18/19,5:19:51,0.11,33.381,0.2,134.483,0.46,29.9,1.4,0.4v,SE OFF SHIKOKU  A,
2019/06/18 05:23:02,6/18/19,5:23:02,0.09,35.419,0.17,136.836,0.19,18.8,0.8,0.2V,SW GIFU PREF  A,
2019/06/18 05:28:47,6/18/19,5:28:47,0.34,37.81,0.83,142.337,1.78,33.4,4.6,1.7V,SE OFF MIYAGI PREF  k,
2019/06/18 05:33:16,6/18/19,5:33:16,0.05,33.844,0.18,134.919,0.12,19.9,0.8,2.8V,S PART OF KII CHANNEL  K,
2019/06/18 05:33:48,6/18/19,5:33:48,0.19,35.621,0.44,140.114,0.68,64.3,1.8,1.5V,CENTRAL CHIBA PREF  A,
