DateTime,Date,Time,TimeErr,Evla,EvlaErr,Evlo,EvloErr,Depth,Derr,Mag,,,,,,,,,,,,
2019-06-18 08:25:00,6/18/19,8:25:51,0.063,33.4568,0.4,135.6772,0.2,21.8,0.4,1.6,,6/19/19 12:18,6/19/19,18:46.8,0.047,38.6411,0.3,139.4549,0.3,11,0.6,1.6
2019-06-18 08:28:00,6/18/19,8:28:41,0.072,32.7809,0.4,130.6024,0.6,8.9,1.2,0.4,,6/19/19 12:20,6/19/19,20:02.0,0.022,33.4716,0.2,130.7776,0.2,3.5,0.8,1.2
2019-06-18 08:29:00,6/18/19,8:29:27,0.139,36.7786,0.7,140.5783,1,7,1.2,0.2,,6/19/19 12:21,6/19/19,21:24.3,0.094,38.651,0.5,139.4961,0.6,12.9,0.7,1.4
2019-06-18 08:34:00,6/18/19,8:34:39,0.037,37.0863,0.2,140.5439,0.3,6.5,0.5,0.2,,6/19/19 12:24,6/19/19,24:05.6,0.029,33.4724,0.2,130.7756,0.2,3.2,1,0.7
2019-06-18 08:38:00,6/18/19,8:38:09,0.014,35.908,0.1,137.6233,0.1,8.3,0.4,1.7,,6/19/19 12:26,6/19/19,26:13.0,0.187,35.3911,0.9,136.7766,1.1,6.7,2.9,0.1
2019-06-18 08:43:00,6/18/19,8:43:08,0.037,33.7744,0.3,134.9618,0.1,39.8,0.4,1.2,,6/19/19 12:26,6/19/19,26:28.2,0.028,38.598,0.2,139.47,0.1,12.5,0.3,2.1
2019-06-18 08:52:00,6/18/19,8:52:00,0.03,35.5097,0.2,137.6562,0.1,15.4,0.4,0.8,,6/19/19 12:27,6/19/19,27:29.5,0.067,35.4382,0.3,139.0767,0.4,15.6,0.6,0.5
2019-06-18 08:54:00,6/18/19,8:54:12,0.051,36.8375,0.3,140.6029,0.4,8.1,0.6,0.6,,6/19/19 12:28,6/19/19,28:24.7,0.063,38.6353,0.4,139.454,0.3,10.2,0.9,1.5
2019-06-18 09:03:00,6/18/19,9:03:52,0.074,37.0726,0.4,140.8056,0.7,1.2,1.6,0.6,,6/19/19 12:30,6/19/19,30:51.6,0.104,40.1359,0.4,141.527,0.5,8,1.6,0.1
2019-06-18 09:11:00,6/18/19,9:11:21,0.276,35.3606,1.3,140.3262,2.3,32.3,3.1,1.4,,6/19/19 12:38,6/19/19,38:36.4,0.028,38.6182,0.2,139.5049,0.1,10.3,0.3,1.9
